rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
210,frame_0190.jpg,76.0,0.3977,0.5474,0.3333,0.12,7,3,False,False
211,frame_0120.jpg,48.0,0.397,0.4526,0.2222,0.52,11,2,False,False
212,frame_0085.jpg,34.0,0.3952,0.433,0.2222,0.56,11,2,False,False
213,frame_0233.jpg,93.2,0.3951,0.5608,0.2222,0.24,14,2,False,False
214,frame_0332.jpg,132.8,0.3905,0.565,0.3333,0.04,10,3,False,False
215,frame_0372.jpg,148.8,0.3881,0.5948,0.2222,0.12,14,2,False,False
216,frame_0393.jpg,157.2,0.3856,0.5552,0.3333,0.04,12,3,False,False
217,frame_0117.jpg,46.8,0.3852,0.4771,0.2222,0.4,5,2,False,False
218,frame_0220.jpg,88.0,0.3823,0.4526,0.3333,0.28,5,3,False,False
219,frame_0200.jpg,80.0,0.382,0.4893,0.1111,0.52,4,1,False,False
220,frame_0224.jpg,89.6,0.3798,0.5782,0.2222,0.12,12,2,False,False
221,frame_0209.jpg,83.6,0.379,0.47,0.0,0.72,7,0,False,False
222,frame_0112.jpg,44.8,0.3788,0.4777,0.3333,0.2,8,3,False,False
223,frame_0103.jpg,41.2,0.3707,0.6108,0.1111,0.16,10,1,False,False
224,frame_0285.jpg,114.0,0.37,0.4334,0.1111,0.6,10,1,False,False
225,frame_0090.jpg,36.0,0.3662,0.455,0.2222,0.36,8,2,False,False
226,frame_0218.jpg,87.2,0.3637,0.45,0.2222,0.36,8,2,False,False
227,frame_0205.jpg,82.0,0.3604,0.3661,0.1111,0.72,6,1,False,False
228,frame_0100.jpg,40.0,0.3568,0.5643,0.2222,0.04,10,2,False,False
229,frame_0010.jpg,4.0,0.3508,0.2349,0.1111,1.0,6,1,False,False
230,frame_0219.jpg,87.6,0.3508,0.4403,0.2222,0.32,7,2,False,False
231,frame_0091.jpg,36.4,0.3496,0.4379,0.2222,0.32,8,2,False,False
232,frame_0216.jpg,86.4,0.349,0.4553,0.1111,0.44,7,1,False,False
233,frame_0084.jpg,33.6,0.3449,0.3832,0.1111,0.6,10,1,False,False
